Configuration,Precision,Recall,F1-Score,AUC,Accuracy
RF_NoFS,0.9375,0.9036,0.9202,0.9770,0.9212
RF_WithFS,0.9494,0.9036,0.9259,0.9761,0.9273
LR,0.8916,0.8916,0.8916,0.9180,0.8909
DT,0.9481,0.8795,0.9125,0.8986,0.9152
